Species,Watershed_name,Common_name,numyears,numpresent,percyears,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
Sigmodon_hispidus,N1B,Hispid cotton rat,22,4,0.18181818181818182,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972544284390032,0.36363636363636365,0,0.8657157357234178,8,0,Random
Spermophilus_tridecemlineatus,N1B,Thirteen-lined ground squirrel,22,7,0.3181818181818182,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.36363636363636365,0.2727272727272727,0.5911999589032155,10,0,Random
Synaptomys_cooperi,N1B,Southern bog lemming,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Zapus_hudsonius,N1B,Meadow jumping mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Blarina_hylophaga,N20B,Elliot's short-tailed shrew,22,11,0.5,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0.5454545454545454,0.45454545454545453,0.668919468132003,12,0,Random
Chaetodipus_hispidus,N20B,Hispid pocket mouse,22,3,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.214044217209977,0,0.2727272727272727,0.12232949847844306,4,0,Random
Cryptotis_parva,N20B,North American least shrew,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Microtus_ochrogaster,N20B,Prairie vole,22,11,0.5,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0.5454545454545454,0.45454545454545453,0.09496362659619695,8,0,Random
Mus_musculus,N20B,House mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Neotoma_floridana,N20B,Eastern woodrat,22,2,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,4,NA,Rare
Peromyscus_leucopus,N20B,White-footed mouse,22,21,0.9545454545454546,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,No_change-present
Peromyscus_maniculatus,N20B,Deer mouse,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Reithrodontomys_megalotis,N20B,Western harvest mouse,22,17,0.7727272727272727,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0.7272727272727273,0.8181818181818182,0.568808972561399,8,0,Random
Reithrodontomys_montanus,N20B,Plains harvest mouse,22,1,0.045454545454545456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Sigmodon_hispidus,N20B,Hispid cotton rat,22,6,0.2727272727272727,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6321424221485428,0.36363636363636365,0.18181818181818182,0.7612159906282363,10,0,Random
Spermophilus_tridecemlineatus,N20B,Thirteen-lined ground squirrel,22,9,0.4090909090909091,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.38580056450828254,0.5454545454545454,0.2727272727272727,0.5653696810900551,11,0,Random
Synaptomys_cooperi,N20B,Southern bog lemming,22,1,0.045454545454545456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Zapus_hudsonius,N20B,Meadow jumping mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Blarina_hylophaga,N4D,Elliot's short-tailed shrew,22,15,0.6818181818181818,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0.35994210247514724,0.5454545454545454,0.8181818181818182,0.0982576075417424,7,0,Random
Chaetodipus_hispidus,N4D,Hispid pocket mouse,22,5,0.22727272727272727,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0.18181818181818182,0.2727272727272727,0.13613780161735298,6,0,Random
Cryptotis_parva,N4D,North American least shrew,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Microtus_ochrogaster,N4D,Prairie vole,22,12,0.5454545454545454,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0.6685241388865246,0.6363636363636364,0.45454545454545453,0.09988625787460073,8,0,Random
Mus_musculus,N4D,House mouse,22,2,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Neotoma_floridana,N4D,Eastern woodrat,22,12,0.5454545454545454,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.03228435391076687,0.2727272727272727,0.8181818181818182,NA,4,1,Increasing
Peromyscus_leucopus,N4D,White-footed mouse,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Peromyscus_maniculatus,N4D,Deer mouse,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Reithrodontomys_megalotis,N4D,Western harvest mouse,22,20,0.9090909090909091,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,4,NA,No_change-present
Reithrodontomys_montanus,N4D,Plains harvest mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Sigmodon_hispidus,N4D,Hispid cotton rat,22,10,0.45454545454545453,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0.19895893109240237,0.6363636363636364,0.2727272727272727,0.5159808414704137,11,0,Random
Spermophilus_tridecemlineatus,N4D,Thirteen-lined ground squirrel,22,6,0.2727272727272727,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.150962319760251,0.45454545454545453,0.09090909090909091,0.018766041599129486,5,0,Recurrent
Synaptomys_cooperi,N4D,Southern bog lemming,22,1,0.045454545454545456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Zapus_hudsonius,N4D,Meadow jumping mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
