ROWID,Datacode,Rectype,Recyear,Season,Watershed_name,Line,Species,Count,Common_name
NA,CSM01,1,2012,AU,4B,E,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2012,AU,4B,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,4B,E,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,4B,E,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,4B,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,4B,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,4B,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,4B,W,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2012,AU,4B,W,Reithrodontomys_megalotis,6,Western harvest mouse
NA,CSM01,1,2012,AU,4B,W,Sigmodon_hispidus,4,Hispid cotton rat
NA,CSM01,1,2012,AU,4B,W,Blarina_hylophaga,1,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,4B,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,4B,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,4B,W,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,4B,W,Peromyscus_leucopus,6,White-footed mouse
NA,CSM01,1,2012,AU,4B,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,4B,W,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,4B,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,4B,W,Synaptomys_cooperi,1,Southern bog lemming
NA,CSM01,1,2012,AU,4B,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,4B,W,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,1D,E,Peromyscus_maniculatus,3,Deer mouse
NA,CSM01,1,2012,AU,1D,E,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,1D,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,1D,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,1D,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,1D,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,1D,E,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,1D,E,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2012,AU,1D,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,1D,E,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,1D,E,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,1D,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,1D,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,1D,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,1D,W,Peromyscus_maniculatus,5,Deer mouse
NA,CSM01,1,2012,AU,1D,W,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,1D,W,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,1D,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,1D,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,1D,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,1D,W,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,1D,W,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2012,AU,1D,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,1D,W,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,1D,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,1D,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,1D,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,1D,W,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,20B,E,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2012,AU,20B,E,Reithrodontomys_megalotis,1,Western harvest mouse
NA,CSM01,1,2012,AU,20B,E,Sigmodon_hispidus,4,Hispid cotton rat
NA,CSM01,1,2012,AU,20B,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,20B,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,20B,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,20B,E,Microtus_ochrogaster,6,Prairie vole
NA,CSM01,1,2012,AU,20B,E,Peromyscus_leucopus,12,White-footed mouse
NA,CSM01,1,2012,AU,20B,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,20B,E,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,20B,E,Neotoma_floridana,1,Eastern woodrat
NA,CSM01,1,2012,AU,20B,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,20B,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,20B,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,20B,W,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2012,AU,20B,W,Reithrodontomys_megalotis,3,Western harvest mouse
NA,CSM01,1,2012,AU,20B,W,Sigmodon_hispidus,3,Hispid cotton rat
NA,CSM01,1,2012,AU,20B,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,20B,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,20B,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,20B,W,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,20B,W,Peromyscus_leucopus,26,White-footed mouse
NA,CSM01,1,2012,AU,20B,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,20B,W,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,20B,W,Neotoma_floridana,1,Eastern woodrat
NA,CSM01,1,2012,AU,20B,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,20B,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,20B,W,Cryptotis_parva,0,North American least shrew
