Recyear,Species.watershed,Watershed_name,Species,Common_name,Count
1995,Mus_musculus.4B,4B,Mus_musculus,House mouse,0
1995,Neotoma_floridana.4B,4B,Neotoma_floridana,Eastern woodrat,0
1995,Peromyscus_leucopus.4B,4B,Peromyscus_leucopus,White-footed mouse,0
1995,Peromyscus_maniculatus.4B,4B,Peromyscus_maniculatus,Deer mouse,12
1995,Reithrodontomys_megalotis.4B,4B,Reithrodontomys_megalotis,Western harvest mouse,6
1995,Reithrodontomys_montanus.4B,4B,Reithrodontomys_montanus,Plains harvest mouse,0
1995,Sigmodon_hispidus.4B,4B,Sigmodon_hispidus,Hispid cotton rat,0
1995,Spermophilus_tridecemlineatus.4B,4B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,2
1995,Synaptomys_cooperi.4B,4B,Synaptomys_cooperi,Southern bog lemming,0
1995,Zapus_hudsonius.4B,4B,Zapus_hudsonius,Meadow jumping mouse,0
1995,Blarina_hylophaga.N1B,N1B,Blarina_hylophaga,Elliot's short-tailed shrew,1
1995,Chaetodipus_hispidus.N1B,N1B,Chaetodipus_hispidus,Hispid pocket mouse,2
1995,Cryptotis_parva.N1B,N1B,Cryptotis_parva,North American least shrew,0
1995,Microtus_ochrogaster.N1B,N1B,Microtus_ochrogaster,Prairie vole,1
1995,Mus_musculus.N1B,N1B,Mus_musculus,House mouse,0
1995,Neotoma_floridana.N1B,N1B,Neotoma_floridana,Eastern woodrat,0
1995,Peromyscus_leucopus.N1B,N1B,Peromyscus_leucopus,White-footed mouse,2
1995,Peromyscus_maniculatus.N1B,N1B,Peromyscus_maniculatus,Deer mouse,19
1995,Reithrodontomys_megalotis.N1B,N1B,Reithrodontomys_megalotis,Western harvest mouse,5
1995,Reithrodontomys_montanus.N1B,N1B,Reithrodontomys_montanus,Plains harvest mouse,0
1995,Sigmodon_hispidus.N1B,N1B,Sigmodon_hispidus,Hispid cotton rat,1
1995,Spermophilus_tridecemlineatus.N1B,N1B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,0
