AOU_code,Common_name,Order,Family,Genus,species,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
FISP,Field Sparrow,Passeriformes,Passerellidae,Spizella,pusilla,10300,Passerellidae,Passeriformes,AVIBASE-E23F6DE0,5,2,3,0,3,10.4,6.6,4.3,5.2,17.9,64.4,10.8,53.5,16.7,62,12.5,Dunning,,NO,,,Grassland,2,2,Omnivore,Granivore,Generalist,28.87,49.98,39.43,-90.09,3997616.97
GCFL,Great Crested Flycatcher ,Passeriformes,Tyrannidae,Myiarchus,crinitus,5763,Tyrannidae,Passeriformes,AVIBASE-8D6D5F2B,18,4,6,8,4,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Dunning,,NO,,,Woodland,1,3,Omnivore,Invertivore,Insessorial,8.61,55.55,40.77,-88.84,5137539.15
GHOW,Great Horned Owl ,Strigiformes,Strigidae,Bubo,virginianus,2926,Strigidae,Strigiformes,AVIBASE-FC366114,4,2,2,0,4,44.7,24.7,17.8,25.4,75.4,371.2,112.7,258.5,30.4,197,1354.5,Updated_literature,Earhart & Johnson (1970),NO,,,Forest,2,1,Carnivore,Vertivore,Insessorial,-35.8,68.52,34.04,-94.19,24426738.59
GOEA,Golden Eagle,Accipitriformes,Accipitridae,Aquila,chrysaetos,3050,Accipitridae,Accipitriformes,AVIBASE-5F8E7CA8,8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,Dunning,,NO,,,Grassland,3,2,Carnivore,Vertivore,Aerial,6.36,71.12,50.67,38.05,39450257.98
GRCA,Gray Catbird ,Passeriformes,Mimidae,Dumetella,carolinensis,8816,Mimidae,Passeriformes,AVIBASE-95B77F08,16,5,5,6,7,19.2,11.1,4,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,Dunning,,NO,,,Shrubland,1,3,Omnivore,Invertivore,Insessorial,28.33,55.06,42.61,-95.25,6824562.12
GRPC,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,370,Phasianidae,Galliformes,AVIBASE-F59448B7,5,0,4,1,4,23.5,12.5,8.7,9,41.8,204.8,86.4,116.1,42.7,82,870.1,Dunning,,NO,,,Grassland,3,1,Herbivore,Granivore,Terrestrial,28.74,47.96,41.99,-98.5,402889.24
GRSP,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus,savannarum,10321,Passerellidae,Passeriformes,AVIBASE-5BFFE091,6,3,3,0,5,13.8,8.2,4.5,6.1,20.1,58.2,12.3,46,21.1,41.4,17.6,Dunning,,NO,,,Grassland,3,2,Omnivore,Invertivore,Generalist,3.31,51.58,40.3,-94.6,5240933.14
GTGR,Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus,mexicanus,10540,Icteridae,Passeriformes,AVIBASE-5CBA3391,18,8,10,0,4,43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,Dunning,,NO,,,Human Modified,3,1,Omnivore,Omnivore,Terrestrial,-3.64,43.84,29.28,-101.43,5121812.21
HAWO,Hairy Woodpecker ,Piciformes,Picidae,Dryobates,villosus,3975,Picidae,Piciformes,AVIBASE-9D06AF89,11,5,5,1,4,31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,8.48,68.73,47.81,-105.59,13332874.44
HESP,Henslow's Sparrow ,Passeriformes,Passerellidae,Centronyx,henslowii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLA,Horned Lark ,Passeriformes,Alaudidae,Eremophila,alpestris,7331,Alaudidae,Passeriformes,AVIBASE-FC0A1D95,14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,Dunning,,NO,,,Grassland,3,3,Omnivore,Omnivore,Terrestrial,4.06,77.73,53.86,4.61,35118904.89
HOWR,House Wren ,Passeriformes,Troglodytidae,Troglodytes,aedon,8598,Troglodytidae,Passeriformes,AVIBASE-7B6E99A9,104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,Dunning,,NO,,,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-55.72,59.66,4.96,-75.18,25653883.47
INBU,Indigo Bunting ,Passeriformes,Cardinalidae,Passerina,cyanea,10711,Cardinalidae,Passeriformes,AVIBASE-043F337A,31,15,16,0,15,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.7,Dunning,,NO,,,Shrubland,2,3,Herbivore,Granivore,Terrestrial,24.53,52.55,39.21,-91.56,5700834.65
